補助計畫,發布日期,主辦單位,機關代碼,簡介與補助範疇,補助對象,聯絡諮詢電話,分機
IC設計攻頂補助計畫,1130821,經濟部產業技術司,313000000G,推動我國IC設計與系統相關業者挑戰開發具國際領先之先進技術晶片與應用系統為目標，鼓勵國內業者開發7奈米(含)以下製程先進晶片、創新封裝技術晶片、創新感測技術晶片，可達國際標竿規格等新興應用晶片，或使用上述國產晶片開發，且可達國際標竿規格之系統產品或新型應用產品。將朝向規劃鼓勵中小型IC設計廠商搭配大型系統或整合商聯合申請，以強化激勵中小型IC設計廠商持續投入研發，並可透過系統商的Beta Site測試，確保產品開發後的市場穩定性。,本計畫以補助我國晶片應用或系統端業者為主，可由單一企業或多家企業聯合申請。,(02)23946000,2704
領航企業研發深耕計畫,1130821,經濟部產業技術司,313000000G,吸引國際大廠(國內外領導廠商)在臺紮根前瞻技術，結合我國產業鏈合作研發，加速布局產業新藍海，以強化我國產業領導性技術研發實力，並引領臺灣成為全球高科技研發中心。申請計畫除須具備領航性、共創性及在地性等研發要件，並需滿足投資要件。另研發內容須符合下列推動領域：新興半導體、新世代通訊及人工智慧。,本國企業或國外企業；可由單一企業或多家企業聯合申請。,(02)23412314,2220
政府績效智慧管理發展計畫,1130819,國家發委員會管制考核處,329000000G,1.整合計畫及工程標案空間資料，並結合人口分布等空間資訊及統計分析功能，建立政府計畫空間管理及決策支援機制，俾利機關掌握計畫資源投入及分布情形。2.跨系統計畫資料整合、自動介接及同步分享等資通訊技術，建立政府計畫資料庫，提供計畫資料巨量分析及加值應用，提供政府機關計畫規劃、執行及效益評估之決策支援參考。3.運用機械學習、人工智慧預警及結合影像辨識等多元媒體資訊，推動計畫智慧管理及動態管理，即時發現計畫執行問題及協助解決，以協助機關提升計畫執行及管理效益。4.建立計畫全生命週期管理機制，強化相關計畫管理系統，簡化行政作業流程，提供整合及友善之計畫管理介面，協助機關提升計畫執行能量及資訊公開。,行政院所屬各機關,(02)23165300,6626
